timestamp,symbol,open,high,low,close,volume
1752764160000,MSFT,510.92,511.14,510.86,511.051,37763
1752764220000,MSFT,511.05,511.11,510.925,511.11,20746
1752764280000,MSFT,511.11,511.33,510.971,511.12,35005
1752764340000,MSFT,511.11,511.32,511.101,511.22,28573
1752764400000,MSFT,511.26,511.4,511.21,511.365,50435
1752764460000,MSFT,511.35,511.4,511.241,511.275,20480
1752764520000,MSFT,511.275,511.309,511.18,511.219,20546
1752764580000,MSFT,511.2,511.29,511.19,511.24,16367
1752764640000,MSFT,511.325,511.85,511.32,511.8,47869
1752764700000,MSFT,511.785,512.16,511.785,512.1,68354
1752764760000,MSFT,512.13,512.23,512,512.08,40347
1752764820000,MSFT,512.09,512.12,511.86,512.01,25895
1752764880000,MSFT,512.04,512.12,511.85,511.85,25949
1752764940000,MSFT,511.83,512.09,511.79,511.97,30968
1752765000000,MSFT,511.975,512.12,511.87,511.885,55605
1752765060000,MSFT,511.86,512.07,511.86,512.045,26612
1752765120000,MSFT,512.045,512.21,511.88,512.173,36649
1752765180000,MSFT,512.2,512.33,512.075,512.075,54351
1752765240000,MSFT,512.08,512.15,511.98,512.11,39430
1752765300000,MSFT,512.1,512.19,511.94,512.14,44248
1752765360000,MSFT,512.13,512.25,512.08,512.16,37849
1752765420000,MSFT,512.162,512.22,511.95,511.965,28853
1752765480000,MSFT,512,512.06,511.957,512.02,19401
1752765540000,MSFT,512.02,512.25,511.71,511.9,94368
1752765600000,MSFT,511.93,512.12,511.89,511.91,31745
1752765660000,MSFT,511.88,511.95,511.73,511.82,27464
1752765720000,MSFT,511.79,511.938,511.759,511.92,19384
1752765780000,MSFT,511.89,511.98,511.78,511.955,22289
1752765840000,MSFT,511.96,512.17,511.86,512.03,40198
1752765900000,MSFT,512.02,512.08,511.77,511.96,35211
1752765960000,MSFT,511.96,512.05,511.771,511.99,21761
1752766020000,MSFT,511.99,512.1,511.94,512.034,27089
1752766080000,MSFT,512.077,512.077,511.835,511.92,45129
1752766140000,MSFT,511.92,511.99,511.87,511.89,49204
1752766200000,MSFT,511.895,512,511.81,511.85,37325
1752766260000,MSFT,511.863,512.25,511.85,512.241,45494
1752766320000,MSFT,512.229,512.565,512.21,512.42,56120
1752766380000,MSFT,512.46,512.575,512.38,512.485,32946
1752766440000,MSFT,512.465,512.465,512.28,512.32,22292
1752766500000,MSFT,512.325,512.48,512.28,512.429,27291
1752766560000,MSFT,512.39,512.43,512.3,512.301,30528
1752766620000,MSFT,512.32,512.36,512.16,512.19,52495
1752766680000,MSFT,512.23,512.36,512.16,512.3,21408
1752766740000,MSFT,512.31,512.42,512.19,512.36,34091
1752766800000,MSFT,512.351,512.52,512.251,512.435,20319
1752766860000,MSFT,512.435,512.695,512.341,512.65,33414
1752766920000,MSFT,512.69,512.745,512.601,512.69,27632
1752766980000,MSFT,512.72,512.72,512.577,512.58,34210
1752767040000,MSFT,512.6,512.76,512.585,512.66,28115
1752767100000,MSFT,512.655,512.88,512.62,512.849,35611
1752767160000,MSFT,512.83,512.9,512.7,512.9,28263
1752767220000,MSFT,512.87,512.88,512.72,512.74,20110
1752767280000,MSFT,512.73,512.87,512.66,512.83,16439
1752767340000,MSFT,512.83,512.88,512.75,512.77,28572
1752767400000,MSFT,512.79,512.81,512.57,512.71,63175
1752767460000,MSFT,512.75,512.88,512.75,512.78,30373
1752767520000,MSFT,512.8,512.8,512.58,512.655,19223
1752767580000,MSFT,512.655,512.73,512.5,512.6,41613
1752767640000,MSFT,512.57,512.63,512.47,512.58,24699
1752767700000,MSFT,512.58,512.69,512.55,512.63,25282
1752767760000,MSFT,512.61,512.71,512.51,512.62,28953
1752767820000,MSFT,512.618,512.66,512.53,512.66,23215
1752767880000,MSFT,512.67,512.95,512.66,512.881,23446
1752767940000,MSFT,512.96,513,512.892,512.95,24715
1752768000000,MSFT,512.95,513,512.875,512.975,25000
1752768060000,MSFT,512.999,513.11,512.86,513.065,33313
1752768120000,MSFT,513.065,513.25,512.971,513.13,30818
1752768180000,MSFT,513.1,513.33,513.1,513.33,40846
1752768240000,MSFT,513.35,513.37,513.23,513.347,29497
1752768300000,MSFT,513.35,513.37,513.2,513.215,21593
1752768360000,MSFT,513.225,513.28,513.06,513.2,29654
1752768420000,MSFT,513.18,513.26,513.02,513.2,36875
1752768480000,MSFT,513.195,513.2,512.97,513.12,20040
1752768540000,MSFT,513.12,513.19,513.07,513.15,15008
